KEYWORD,OCCURRENCES,OVERALL,COMPETITION,VOLUME
productivity,2,62.11,73.91,86.12
mac,2,51.8,92.75,81.5
automation,2,53.55,87.71,81.06
apple,2,60.47,96.23,98.27
mac automation,2,58.41,21.29,44.87
alternative web browsers,1,51.9,46.79,51.02
web browser,1,46.87,69.94,58.07
blogging,1,74.19,35.59,80.72
hazel apple,1,49.85,55.85,53.65
mac automation apps,1,57.45,28.55,48.12
mac automation tips,1,45.05,57.98,47.08
mac shortcuts app automation,1,45.19,59.24,48.13
macbook automation,1,51.18,48.25,50.79
mac shortcuts automation,1,52.16,39.15,46.38
file organization tips,1,53.75,38.44,48.54
mac file management,1,48.58,44.94,44.25
mac file organization,1,48.8,47.17,46.11
hazel app,1,63.69,11.63,47.24
hazel mac review,1,NaN,NaN,51.09
hazel mac app,1,66.12,6.49,47.86
using hazel,1,NaN,NaN,43.45
hazel macos app,1,NaN,NaN,45.95
Hazel,1,52.77,86.34,78.85
os x,1,51.85,59.77,59.59
macos,1,60.58,61.04,74.99
mac computers,1,35.49,81.38,46.74
keyboard maestro,1,71.9,4.43,56.11
