original_path,new_path,filename,size_mb,waste_mb
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/jquery/jquery.js,SEO Content Optimization Suite/_build/html/_static/jquery.js,jquery.js,0.09,0.09
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/RobotoSlab/roboto-slab-v7-bold.woff,SEO Content Optimization Suite/_build/html/_static/fonts/RobotoSlab/roboto-slab-v7-bold.woff,roboto-slab-v7-bold.woff,0.08,0.08
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/RobotoSlab/roboto-slab-v7-regular.woff,SEO Content Optimization Suite/_build/html/_static/fonts/RobotoSlab/roboto-slab-v7-regular.woff,roboto-slab-v7-regular.woff,0.08,0.08
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/RobotoSlab/roboto-slab-v7-bold.eot,SEO Content Optimization Suite/_build/html/_static/fonts/RobotoSlab/roboto-slab-v7-bold.eot,roboto-slab-v7-bold.eot,0.08,0.08
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/RobotoSlab/roboto-slab-v7-regular.eot,SEO Content Optimization Suite/_build/html/_static/fonts/RobotoSlab/roboto-slab-v7-regular.eot,roboto-slab-v7-regular.eot,0.07,0.07
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/css/fonts/fontawesome-webfont.woff2,SEO Content Optimization Suite/_build/html/_static/css/fonts/fontawesome-webfont.woff2,fontawesome-webfont.woff2,0.07,0.07
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/RobotoSlab/roboto-slab-v7-bold.woff2,SEO Content Optimization Suite/_build/html/_static/fonts/RobotoSlab/roboto-slab-v7-bold.woff2,roboto-slab-v7-bold.woff2,0.06,0.06
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx_rtd_theme/static/fonts/RobotoSlab/roboto-slab-v7-regular.woff2,SEO Content Optimization Suite/_build/html/_static/fonts/RobotoSlab/roboto-slab-v7-regular.woff2,roboto-slab-v7-regular.woff2,0.06,0.06
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/img.py.json,tools/utilities/system/cleanup/.lh/img.py.json,img.py.json,0.03,0.03
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinx/themes/basic/static/searchtools.js,SEO Content Optimization Suite/_build/html/_static/searchtools.js,searchtools.js,0.02,0.02
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/organizer.py.json,tools/utilities/system/cleanup/.lh/organizer.py.json,organizer.py.json,0.02,0.02
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip/_vendor/packaging/LICENSE.APACHE,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/packaging-25.0.dist-info/licenses/LICENSE.APACHE,LICENSE.APACHE,0.01,0.02
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip-25.3.dist-info/licenses/src/pip/_vendor/packaging/LICENSE.APACHE,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/packaging-25.0.dist-info/licenses/LICENSE.APACHE,LICENSE.APACHE,0.01,0.02
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/audio.py.json,tools/utilities/system/cleanup/.lh/audio.py.json,audio.py.json,0.02,0.02
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip/_vendor/requests/LICENSE,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/requests-2.32.5.dist-info/licenses/LICENSE,LICENSE,0.01,0.02
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip-25.3.dist-info/licenses/src/pip/_vendor/requests/LICENSE,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/requests-2.32.5.dist-info/licenses/LICENSE,LICENSE,0.01,0.02
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/docs.py.json,tools/utilities/system/cleanup/.lh/docs.py.json,docs.py.json,0.02,0.02
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/batch-info-python.py.json,tools/utilities/system/cleanup/.lh/batch-info-python.py.json,batch-info-python.py.json,0.02,0.02
exports/dedupe_operations_20260101/HOME_DEEPDIVE_REPORT.md,analysis/reports/HOME_DEEPDIVE_REPORT.md,HOME_DEEPDIVE_REPORT.md,0.02,0.02
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/blocks.txt.json,tools/utilities/system/cleanup/.lh/blocks.txt.json,blocks.txt.json,0.01,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip-25.3.dist-info/licenses/src/pip/_vendor/distlib/LICENSE.txt,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip/_vendor/distlib/LICENSE.txt,LICENSE.txt,0.01,0.01
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/utilities/system/cleanup/.lh/other.py.json,tools/utilities/system/cleanup/.lh/other.py.json,other.py.json,0.01,0.01
archive/backups/2026-01-11/AvaTarArTs-Suite-removed-20260101/automation/web/sdist.py,tools/automation/web/sdist.py,sdist.py,0.01,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip-25.3.dist-info/licenses/src/pip/_vendor/distro/LICENSE,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/pip/_vendor/distro/LICENSE,LICENSE,0.01,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/it/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/ca/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/si/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/bn/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/fi/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/ne/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/da/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/de/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/da/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/fa/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/da/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/eu/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/da/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/tr/LC_MESSAGES/sphinxcontrib.applehelp.po,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/da/LC_MESSAGES/sphinxcontrib.applehelp.po,sphinxcontrib.applehelp.po,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/it/LC_MESSAGES/sphinxcontrib.applehelp.mo,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.mo,sphinxcontrib.applehelp.mo,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/ca/LC_MESSAGES/sphinxcontrib.applehelp.mo,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.mo,sphinxcontrib.applehelp.mo,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/si/LC_MESSAGES/sphinxcontrib.applehelp.mo,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.mo,sphinxcontrib.applehelp.mo,0.00,0.01
SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/bn/LC_MESSAGES/sphinxcontrib.applehelp.mo,SEO Content Optimization Suite/.venv/lib/python3.12/site-packages/sphinxcontrib/applehelp/locales/sv/LC_MESSAGES/sphinxcontrib.applehelp.mo,sphinxcontrib.applehelp.mo,0.00,0.01
