Category,File Count,CSV File
AI/ML,310,migration_map_AI-ML.csv
Automation Scripts,20,migration_map_Automation-Scripts.csv
Configuration,2,migration_map_Configuration.csv
Data Analysis,85,migration_map_Data-Analysis.csv
Documentation,2,migration_map_Documentation.csv
Media Content,66,migration_map_Media-Content.csv
Portfolio Work,11,migration_map_Portfolio-Work.csv
Testing,1,migration_map_Testing.csv
Web Development,3,migration_map_Web-Development.csv
