original_path,new_path,filename,size_mb,waste_mb,content_hash,keep_reason
html-assets/dark 1.html,ai-sites/dalle-fix/.history/dark_20250107121518.html,dark_20250107121518.html,0.01,0.01,377566b57301e7a2,better location
html-assets/creative/dallemod 3.html,ai-sites/dalle-fix/.history/dallemod_20250103071602.html,dallemod_20250103071602.html,0.01,0.01,b19f405b50855dd2,better location
