Directory,File Count,Size (bytes),Size (GB),Depth
organized_intelligent/Development_and_Code,1661,526396475,0.49,2
ai-ml-notes,1103,107099171,0.10,1
organized_intelligent/Uncategorized,1082,22179128,0.02,2
organized_intelligent/Visual_Arts_and_Design,707,1119849313,1.04,2
organized_intelligent/Business_and_Strategy,356,27896175,0.03,2
organized_intelligent/Writing_and_Narrative,341,25176116,0.02,2
.,334,335140826,0.31,0
archive/reference-files/avatararts-steven-docs/DaLL-E/all,317,95658338,0.09,5
josephrosadomd/wp-content/uploads/2025/03,238,23346042,0.02,5
Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files,222,44609400,0.04,2
tools/media/image,218,4919976,0.00,3
josephrosadomd/wp-content/uploads/2025/05,192,52337390,0.05,5
josephrosadomd/wp-json/oembed/1.0,182,494133,0.00,4
advanced_toolkit,119,10332757,0.01,1
MASTER_SEO_PACKAGE_2024/CSV_INVENTORIES,116,35304446,0.03,2
retention-suite-complete/digital-products/creative-asset-packs/generated_art,110,1625901,0.00,4
organized_intelligent/Cinema_and_Video,95,99434440,0.09,2
tools/media/video,93,931819,0.00,3
josephrosadomd/wp-content/uploads/2025/02,90,17599924,0.02,5
organized_intelligent/Music_and_Audio,85,66125268,0.06,2
html-assets,84,127844810,0.12,1
tools/devtools/development_utilities,81,479861,0.00,3
josephrosadomd/wp-content/uploads/2025/07,79,27969037,0.03,5
analysis/reports,72,795306,0.00,2
josephrosadomd/wp-json/wp/v2/posts,71,4895060,0.00,5
analysis/csv,69,123561301,0.12,2
gol-ia-newq/nevets/sresU,68,10391242,0.01,3
josephrosadomd/wp-content/uploads/2024/04,63,11594656,0.01,5
tools/automation/api_integrations,62,378885,0.00,3
archive/LIVE-DEPLOYMENT,52,126326447,0.12,2
archive/backups/2026-01-11,52,899947073,0.84,3
archive/reference-files/avatararts-steven-docs/DaLL-E,52,21058304,0.02,4
josephrosadomd/wp-content/uploads/2025/04,50,16099385,0.01,5
Dr_Adu_GainesvillePFS_SEO_Project,50,62115648,0.06,1
archive/system/advanced-systems/MARKDOWN-ARCHIVE/downloads-exports,48,2749281,0.00,5
Ai-Empire/gol-ia-newq/nevets/sresU,48,6879635,0.01,4
tools/media/audio,38,365447,0.00,3
tools/data/file_organization,37,277314,0.00,3
reports,33,325016,0.00,1
tools/docs/reports,32,28203712,0.03,3
archive/backups/2026-01-11/heavenlyHands-copy-backup-20260101/intelligent-organization-system,32,292605798,0.27,5
analysis/summaries,31,457154,0.00,2
archive/system/advanced-systems/ultra-deep-intelligence,31,332897,0.00,4
archive/system/advanced-systems/SCRIPTS,30,313328,0.00,4
Dr_Adu_GainesvillePFS_SEO_Project/01_Project_Files/Dr_Adu_GainesvillePFS_SEO_Project/08_Exports/batches,30,2103719,0.00,5
tools/automation/web,29,240394,0.00,3
archive/reference-files/avatararts-steven-docs/DaLL-E/1-1,29,19910586,0.02,5
archive/system/advanced-systems/ultra-deep-intelligence/reports/folders,28,41647,0.00,6
josephrosadomd/wp-content/uploads/2025/06,28,8944938,0.01,5
tools/utilities/system/cleanup,26,103615411,0.10,4
html-assets/creative,26,1592787,0.00,2
josephrosadomd/wp-content/uploads/2023/08,23,5867980,0.01,5
tools/media/processing,21,186435,0.00,3
archive/system/advanced-systems/MARKDOWN-ARCHIVE/api-guides,21,146264,0.00,5
tools,20,2310115,0.00,1
assets/pictures/zombot-avatararts,20,5108003,0.00,3
