PICTURES DIRECTORY ANALYSIS,Generated: 2025-11-06 12:06:58

SUMMARY
Total Size,23.16 GB
Total Files,"21,910"
Total Directories,244
Archive Files (.zip),116

TOP DIRECTORIES BY SIZE
Directory,Size (GB),Percentage
etsy/04_halloween_designs/Rainbow-Skeleton-PNG-Funny-126564317.zip,4.6,etsy/04_halloween_designs
zip/Clawdeen-Klawson.zip,4.5,zip
etsy/05_raccoon_designs/funny-racoon-pngs.zip,3.4,etsy/05_raccoon_designs
etsy/06_funny_quotes/Funny-Puns-HANG-ON-LET-121273402.zip,2.9,etsy/06_funny_quotes
etsy/07_animal_designs/Potter-Cats-24894577.zip,2.9,etsy/07_animal_designs
etsy/07_animal_designs/Support-Your-Local-Street-Cats-123138148.zip,2.7,etsy/07_animal_designs
etsy/05_raccoon_designs/Support-Local-Street-CatsRaccoon-117018603.zip,2.3,etsy/05_raccoon_designs
etsy/07_animal_designs/SUPPORT-YOUR-LOCAL-STREET-CATS-101852310.zip,2.2,etsy/07_animal_designs
etsy/07_animal_designs/Support-Your-Local-Street-Cats-105268920(1).zip,2.0,etsy/07_animal_designs
etsy/07_animal_designs/Support-Your-Local-Street-Cats-109955132.zip,1.8,etsy/07_animal_designs
etsy/07_animal_designs/Support-Local-Street-Cats-png-102614152(1).zip,1.6,etsy/07_animal_designs
Adobe/layer-batch-processing-kit-2023-11-27-05-35-01-utc.zip,1.4,Adobe
Adobe/ratio-switch-format-change-kit-2023-11-27-05-27-17-utc.zip,1.4,Adobe
Adobe/seamless-pattern-creation-kit-2023-11-27-05-06-19-utc.zip,1.4,Adobe
Adobe/shadowify-realistic-blur-shadow-kit-2023-11-27-05-06-00-utc.zip,1.2,Adobe
meh/Me-X-profile.zip,1.1,meh
Adobe/image-extend-clipping-expansion-kit-2023-11-27-05-35-53-utc.zip,1.0,Adobe
Adobe/better-grids-layout-creation-kit-2023-11-27-05-20-54-utc.zip,0.9,Adobe
Adobe/repeat-fill-pattern-grid-creator-2023-11-27-04-59-51-utc.zip,0.8,Adobe
Adobe/reorder-layer-panel-sorting-kit-2023-11-27-05-26-34-utc.zip,0.7,Adobe
etsy/07_animal_designs/Adopt-A-Local-Street-Cats-119559882.zip,0.7,etsy/07_animal_designs
etsy/05_raccoon_designs/bd8e0a8d-5f19-416f-b85d-4339562d9e3d.zip,0.7,etsy/05_raccoon_designs
zip/Onest.zip,0.7,zip
etsy/05_raccoon_designs/3c972787-06d2-425c-bf30-84b176197977.zip,0.5,etsy/05_raccoon_designs
Adobe/smart-select-complex-layer-selecting-2023-11-27-04-57-48-utc.zip,0.5,Adobe
etsy/05_raccoon_designs/f760ab6b-ff96-464e-81a9-a0d69ce8af70.zip,0.4,etsy/05_raccoon_designs
etsy/06_funny_quotes/f51e1ce7-07ac-4bc0-beb0-faebd8077052.zip,0.4,etsy/06_funny_quotes
Adobe/Prompt-Logger-Ai-75508115.zip,0.4,Adobe
etsy/06_funny_quotes/Sarcastic-Animal-Sublimation.zip,0.4,etsy/06_funny_quotes
Adobe/quick-align-layer-positioning-made-easy-2023-11-27-05-37-26-utc.zip,0.4,Adobe
Adobe/40oz-Quencher-Tumbler-Canva-Template-69551416.zip,0.3,Adobe
Adobe/multidup-batch-duplication-in-photoshop-2023-11-27-05-36-46-utc.zip,0.2,Adobe
ideo-ALL/category_series.zip,0.2,ideo-ALL
Adobe/fit-to-canvas-script-for-ps-2023-11-27-05-16-13-utc.zip,0.2,Adobe
etsy/09_mockups_templates/Kamala Lovers in My Harris 2024 Era SVG Graphic by Aladin · Creative Fabrica  8_10_2024 122651 AM.zip,0.2,etsy/09_mockups_templates
ideo-notion/2025-09-10-conversations (3).zip,0.1,ideo-notion
etsy/09_mockups_templates/mediasim.zip,0.1,etsy/09_mockups_templates
etsy/01_ideogram_designs/video-analyzer.zip,0.0,etsy/01_ideogram_designs
DreamLab/DreamLab.zip,0.0,DreamLab
Adobe/Resource-Boy/Resource-Boy-Gold-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
ideo-notion/2025-09-10-conversations.zip,0.0,ideo-notion
Adobe/Resource-Boy/Resource-Boy-Sky-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Photoshop-Gradient-Maps.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Rose-Gold-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Holographic-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Blue-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Sunset-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Silver-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Bronze-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Chrome-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Red-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Green-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-80s-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Purple-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Brown-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Yellow-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Pink-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-90s-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Duotone-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Orange-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
Adobe/Resource-Boy/Resource-Boy-Pastel-Photoshop-Gradients.zip,0.0,Adobe/Resource-Boy
etsy/10_ai_generated/summer-love-vibes-dalle-pack-batch2.zip,0.0,etsy/10_ai_generated
zip/2025-02-08-conversations.zip,0.0,zip
ideo-notion/shorts_service_mvp_v1.zip,0.0,ideo-notion
Adobe/Creative_Gradient_Packs.zip,0.0,Adobe
ideo-notion/Key_Features_Replicated__export_2025-09-10T20-36.zip,0.0,ideo-notion
ideo-notion/The_Faceless_Empire_Toolkit___Claude_export_2025-09-09T20-17.zip,0.0,ideo-notion
zip/Woodcarving_Illustrated_Issue_108_Fall_2024_lqA_EQAAQBAJ_01_10.zip,0.0,zip

LARGE FILES (>100MB)
File Path,Size (MB),Type
Adobe/AutoMated-Mockups/280 ml can animated mockup/animated mockup/soda can 280 ml mockup.psd,820.3,psd
Adobe/AnaCsn.psd,805.7,psd
Adobe/soda can 280 ml mockup-shrunk.psd,800.2,psd
Adobe/AutoMated-Mockups/280 ml can animated mockup.zip,665.0,zip
Adobe/Resource-Boy/Resource-Boy-Gradient-Backgrounds-Vol-01.zip,660.7,zip
Adobe/magic mug animated mockup/magic mug animated mockup/mug animated side view.psd,414.4,psd
Adobe/AutoMated-Mockups/magic mug animated mockup-psd/magic mug animated mockup/mug animated side view.psd,412.2,psd
Adobe/magic mug animated mockup.zip,359.8,zip
cLeanShoT/10-24-2025-Google Chrome.mp4,355.7,mp4
cLeanShoT/10-25-2025-Google Chrome.mp4,353.7,mp4
cLeanShoT/08-29-2025-Google Chrome.mp4,345.3,mp4
etsy/01_ideogram_designs/-2- Ideogram-Tshirt - 8_11_2025 8-03-40 PM.zip,335.1,zip
cLeanShoT/06-07-2025-CapCut.mp4,298.9,mp4
Adobe/mug animated mockup front view.psd,296.1,psd
YThumbs.zip,289.7,zip
cLeanShoT/08-29-2025-Google Chrome-converted.mp4,272.2,mp4
Adobe/Styles-gradients.zip,269.8,zip
cLeanShoT/06-07-2025-CapCut-converted.mp4,235.0,mp4
adobe_style_analysis/Archive.zip,209.8,zip
Adobe/0_3.psd,197.3,psd
etsy/05_raccoon_designs/Funny-Raccoon-Sublimation-Bundle-97017742-1.zip,196.3,zip
Adobe/esoteriC.psd,180.1,psd
cLeanShoT/08-08-2025-Google Chrome.mp4,170.0,mp4
Adobe/Resource-Boy/Resource-Boy-Gradient-Backgrounds-Vol-03.zip,153.6,zip
etsy/08_holiday_designs/AntiValentines-Day-x32-BUNDLE-Graphics-26574670.zip,150.0,zip
Adobe/WRAP teacher lamiaa.psd,148.3,psd
Adobe/Resource-Boy/Resource-Boy-Gradient-Backgrounds-Vol-02.zip,141.0,zip
etsy/08_holiday_designs/Valentines-Day-SVG-Bundle-Free-23557826.zip,131.1,zip
etsy/06_funny_quotes/Funny-Quotes-Stickers-Sublimation-Bundle-119977757.zip,129.3,zip
etsy/04_halloween_designs/Halloween-Raccoon-SVG-Bundle-106187547.zip,115.9,zip
