Status,Year 1 Total,Year 2 Total,Year 3 Total,Count
Ready,2075800,6050840,10327120,27
Partially Explored,0,500000,2000000,1
Active,255000,630000,1210000,5
In Development,182000,512000,960000,6
Not Found,0,370000,925000,18
Available,80000,205000,410000,5
