category,subcategory,file_name,file_extension,size_bytes,size_kb,size_mb,date_archived,relative_path,full_path
music-analysis,Love is rubbish Let's Get Trashy,Love is rubbish Let's Get Trashy (Remix)329 (1)_analysis.txt,.txt,3293,3.22,0.0031,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)329 (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)329 (1)_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy,Love is rubbish Let's Get Trashy (Remix)329_analysis.txt,.txt,3034,2.96,0.0029,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)329_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)329_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy,Love is rubbish Let's Get Trashy (Remix)331_analysis.txt,.txt,3265,3.19,0.0031,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)331_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)331_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy,Love is rubbish Let's Get Trashy (Remix)332_analysis.txt,.txt,3003,2.93,0.0029,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)332_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)332_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy,Love is rubbish Let's Get Trashy (Remix)341_analysis.txt,.txt,3187,3.11,0.003,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)341_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy (Remix)341_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)234,Love is rubbish Let's Get Trashy (Remix)234_analysis.txt,.txt,3563,3.48,0.0034,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)234/Love is rubbish Let's Get Trashy (Remix)234_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)234/Love is rubbish Let's Get Trashy (Remix)234_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)244,Love is rubbish Let's Get Trashy (Remix)244_analysis.txt,.txt,3784,3.7,0.0036,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)244/Love is rubbish Let's Get Trashy (Remix)244_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)244/Love is rubbish Let's Get Trashy (Remix)244_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)254,Love is rubbish Let's Get Trashy (Remix)254_analysis.txt,.txt,3881,3.79,0.0037,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)254/Love is rubbish Let's Get Trashy (Remix)254_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)254/Love is rubbish Let's Get Trashy (Remix)254_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)257,Love is rubbish Let's Get Trashy (Remix)257_analysis.txt,.txt,3403,3.32,0.0032,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)257/Love is rubbish Let's Get Trashy (Remix)257_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)257/Love is rubbish Let's Get Trashy (Remix)257_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)259*,Love is rubbish Let's Get Trashy (Remix)259*_analysis.txt,.txt,3255,3.18,0.0031,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)259*/Love is rubbish Let's Get Trashy (Remix)259*_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)259*/Love is rubbish Let's Get Trashy (Remix)259*_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)304,Love is rubbish Let's Get Trashy (Remix)304_analysis.txt,.txt,3183,3.11,0.003,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)304/Love is rubbish Let's Get Trashy (Remix)304_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)304/Love is rubbish Let's Get Trashy (Remix)304_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)304 (1),Love is rubbish Let's Get Trashy (Remix)304 (1)_analysis.txt,.txt,3617,3.53,0.0034,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)304 (1)/Love is rubbish Let's Get Trashy (Remix)304 (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)304 (1)/Love is rubbish Let's Get Trashy (Remix)304 (1)_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock,Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock_analysis.txt,.txt,3096,3.02,0.003,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock/Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock/Love is rubbish Let's Get Trashy (Remix)304-acoustic-FOLK-rock_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)306,Love is rubbish Let's Get Trashy (Remix)306_analysis.txt,.txt,3501,3.42,0.0033,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy (Remix)306/Love is rubbish Let's Get Trashy (Remix)306_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)306/Love is rubbish Let's Get Trashy (Remix)306_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)308,Love is rubbish Let's Get Trashy (Remix)308_analysis.txt,.txt,3235,3.16,0.0031,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)308/Love is rubbish Let's Get Trashy (Remix)308_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)308/Love is rubbish Let's Get Trashy (Remix)308_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)317,Love is rubbish Let's Get Trashy (Remix)317_analysis.txt,.txt,3468,3.39,0.0033,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)317/Love is rubbish Let's Get Trashy (Remix)317_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)317/Love is rubbish Let's Get Trashy (Remix)317_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)317 (1),Love is rubbish Let's Get Trashy (Remix)317 (1)_analysis.txt,.txt,2976,2.91,0.0028,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy (Remix)317 (1)/Love is rubbish Let's Get Trashy (Remix)317 (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)317 (1)/Love is rubbish Let's Get Trashy (Remix)317 (1)_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)318,Love is rubbish Let's Get Trashy (Remix)318_analysis.txt,.txt,3009,2.94,0.0029,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy (Remix)318/Love is rubbish Let's Get Trashy (Remix)318_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)318/Love is rubbish Let's Get Trashy (Remix)318_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)318 (1),Love is rubbish Let's Get Trashy (Remix)318 (1)_analysis.txt,.txt,3646,3.56,0.0035,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy (Remix)318 (1)/Love is rubbish Let's Get Trashy (Remix)318 (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)318 (1)/Love is rubbish Let's Get Trashy (Remix)318 (1)_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)319,Love is rubbish Let's Get Trashy (Remix)319_analysis.txt,.txt,2605,2.54,0.0025,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)319/Love is rubbish Let's Get Trashy (Remix)319_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)319/Love is rubbish Let's Get Trashy (Remix)319_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)329,Love is rubbish Let's Get Trashy (Remix)329_analysis.txt,.txt,3034,2.96,0.0029,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)329/Love is rubbish Let's Get Trashy (Remix)329_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)329/Love is rubbish Let's Get Trashy (Remix)329_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)329 (1),Love is rubbish Let's Get Trashy (Remix)329 (1)_analysis.txt,.txt,3293,3.22,0.0031,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy (Remix)329 (1)/Love is rubbish Let's Get Trashy (Remix)329 (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)329 (1)/Love is rubbish Let's Get Trashy (Remix)329 (1)_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)331,Love is rubbish Let's Get Trashy (Remix)331_analysis.txt,.txt,3265,3.19,0.0031,2025-06-01,music-analysis/Love is rubbish Let's Get Trashy (Remix)331/Love is rubbish Let's Get Trashy (Remix)331_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)331/Love is rubbish Let's Get Trashy (Remix)331_analysis.txt
music-analysis,Love is rubbish Let's Get Trashy (Remix)341,Love is rubbish Let's Get Trashy (Remix)341_analysis.txt,.txt,3187,3.11,0.003,2025-06-02,music-analysis/Love is rubbish Let's Get Trashy (Remix)341/Love is rubbish Let's Get Trashy (Remix)341_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love is rubbish Let's Get Trashy (Remix)341/Love is rubbish Let's Get Trashy (Remix)341_analysis.txt
music-analysis,Love_in_Imperfection_(Remastered)2,Love_in_Imperfection_(Remastered)2_analysis.txt,.txt,2622,2.56,0.0025,2025-01-30,music-analysis/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2_analysis.txt
music-analysis,Love_in_Imperfection_(Remastered)2,Love_in_Imperfection_(Remastered)2_analysis.txt,.txt,2626,2.56,0.0025,2025-01-30,music-analysis/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2_analysis.txt
music-analysis,Love_in_Imperfection_(Remastered)2,Love_in_Imperfection_(Remastered)2_analysis_1_1.txt,.txt,2622,2.56,0.0025,2025-01-30,music-analysis/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2_analysis_1_1.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love_in_Imperfection_(Remastered)2/Love_in_Imperfection_(Remastered)2_analysis_1_1.txt
music-analysis,Love_is_rubbish_Lets_Get_Trashy,Love_is_rubbish_Lets_Get_Trashy_analysis.txt,.txt,2208,2.16,0.0021,2025-01-30,music-analysis/Love_is_rubbish_Lets_Get_Trashy/Love_is_rubbish_Lets_Get_Trashy_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love_is_rubbish_Lets_Get_Trashy/Love_is_rubbish_Lets_Get_Trashy_analysis.txt
music-analysis,Love_is_rubbish_Lets_Get_Trashy,Love_is_rubbish_Lets_Get_Trashy_analysis.txt,.txt,2638,2.58,0.0025,2025-01-30,music-analysis/Love_is_rubbish_Lets_Get_Trashy/Love_is_rubbish_Lets_Get_Trashy/Love_is_rubbish_Lets_Get_Trashy_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Love_is_rubbish_Lets_Get_Trashy/Love_is_rubbish_Lets_Get_Trashy/Love_is_rubbish_Lets_Get_Trashy_analysis.txt
music-analysis,Moonly_Alley,Moonly_Alley_analysis_1_1.txt,.txt,3159,3.08,0.003,2025-04-04,music-analysis/Moonly_Alley/Moonly_Alley_analysis_1_1.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Moonly_Alley/Moonly_Alley_analysis_1_1.txt
music-analysis,No More Love Songs - Encore,No More Love Songs - Encore (Remastered) (1)_analysis.txt,.txt,3226,3.15,0.0031,2025-06-02,music-analysis/No More Love Songs - Encore/No More Love Songs - Encore (Remastered) (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs - Encore/No More Love Songs - Encore (Remastered) (1)_analysis.txt
music-analysis,No More Love Songs - Encore,No More Love Songs - Encore (Remastered)_analysis.txt,.txt,3033,2.96,0.0029,2025-06-02,music-analysis/No More Love Songs - Encore/No More Love Songs - Encore (Remastered)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs - Encore/No More Love Songs - Encore (Remastered)_analysis.txt
music-analysis,No More Love Songs - Encore (Remastered),No More Love Songs - Encore (Remastered)_analysis.txt,.txt,3033,2.96,0.0029,2025-06-02,music-analysis/No More Love Songs - Encore (Remastered)/No More Love Songs - Encore (Remastered)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs - Encore (Remastered)/No More Love Songs - Encore (Remastered)_analysis.txt
music-analysis,No More Love Songs - Encore (Remastered) (1),No More Love Songs - Encore (Remastered) (1)_analysis.txt,.txt,3226,3.15,0.0031,2025-06-02,music-analysis/No More Love Songs - Encore (Remastered) (1)/No More Love Songs - Encore (Remastered) (1)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs - Encore (Remastered) (1)/No More Love Songs - Encore (Remastered) (1)_analysis.txt
music-analysis,No More Love Songs - Encore (Remastered) (2),No More Love Songs - Encore (Remastered) (2)_analysis.txt,.txt,3553,3.47,0.0034,2025-06-02,music-analysis/No More Love Songs - Encore (Remastered) (2)/No More Love Songs - Encore (Remastered) (2)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs - Encore (Remastered) (2)/No More Love Songs - Encore (Remastered) (2)_analysis.txt
music-analysis,No More Love Songs246,No More Love Songs246_analysis.txt,.txt,3056,2.98,0.0029,2025-06-02,music-analysis/No More Love Songs246/No More Love Songs246_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs246/No More Love Songs246_analysis.txt
music-analysis,No More Love Songs249,No More Love Songs249_analysis.txt,.txt,2854,2.79,0.0027,2025-06-02,music-analysis/No More Love Songs249/No More Love Songs249_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs249/No More Love Songs249_analysis.txt
music-analysis,No More Love Songs324,No More Love Songs324_analysis.txt,.txt,3288,3.21,0.0031,2025-06-02,music-analysis/No More Love Songs324/No More Love Songs324_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs324/No More Love Songs324_analysis.txt
music-analysis,No More Love Songs344,No More Love Songs344_analysis.txt,.txt,3377,3.3,0.0032,2025-06-02,music-analysis/No More Love Songs344/No More Love Songs344_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/No More Love Songs344/No More Love Songs344_analysis.txt
music-analysis,NoteGPT_AI_Podcast_1748819998017,NoteGPT_AI_Podcast_1748819998017_analysis.txt,.txt,3591,3.51,0.0034,2025-06-02,music-analysis/NoteGPT_AI_Podcast_1748819998017/NoteGPT_AI_Podcast_1748819998017_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/NoteGPT_AI_Podcast_1748819998017/NoteGPT_AI_Podcast_1748819998017_analysis.txt
music-analysis,NoteGPT_AI_Podcast_1748823388204,NoteGPT_AI_Podcast_1748823388204_analysis.txt,.txt,3562,3.48,0.0034,2025-06-02,music-analysis/NoteGPT_AI_Podcast_1748823388204/NoteGPT_AI_Podcast_1748823388204_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/NoteGPT_AI_Podcast_1748823388204/NoteGPT_AI_Podcast_1748823388204_analysis.txt
music-analysis,Powerful233,Powerful233_analysis.txt,.txt,3229,3.15,0.0031,2025-06-02,music-analysis/Powerful233/Powerful233_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Powerful233/Powerful233_analysis.txt
music-analysis,Recycled_Symphony2_(Remastered),Recycled_Symphony2_(Remastered)_analysis.txt,.txt,2562,2.5,0.0024,2025-01-30,music-analysis/Recycled_Symphony2_(Remastered)/Recycled_Symphony2_(Remastered)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Recycled_Symphony2_(Remastered)/Recycled_Symphony2_(Remastered)_analysis.txt
music-analysis,Recycled_Symphony2_(Remastered),Recycled_Symphony2_(Remastered)_analysis.txt,.txt,3228,3.15,0.0031,2025-01-30,music-analysis/Recycled_Symphony2_(Remastered)/Recycled_Symphony2_(Remastered)/Recycled_Symphony2_(Remastered)_analysis.txt,03_ARCHIVES/intelligent-declutter/music-analysis/Recycled_Symphony2_(Remastered)/Recycled_Symphony2_(Remastered)/Recycled_Symphony2_(Remastered)_analysis.txt
