Filename,Duration,File Size,Creation Date,Original Path
Where A Poet Sings His Songs.webm,Unknown,Unknown,10-28-25,/Users/steven/Downloads/Video/Where A Poet Sings His Songs.webm
The One Big Beautiful Bill Act_ An Outline and Analysis - NotebookLM.mp4,5:59,17.91 MB,10-28-25,/Users/steven/Downloads/Video/The One Big Beautiful Bill Act_ An Outline and Analysis - NotebookLM.mp4
Grok(2).mp4,0:05,3.24 MB,10-28-25,/Users/steven/Downloads/Video/Grok(2).mp4
Koosie _ Join me on Suno.webm,Unknown,Unknown,10-28-25,/Users/steven/Downloads/Video/Koosie _ Join me on Suno.webm
MaxGrads.mp4,0:16,4.64 MB,10-28-25,/Users/steven/Downloads/Video/MaxGrads.mp4
Grok(1).mp4,0:05,3.74 MB,10-28-25,/Users/steven/Downloads/Video/Grok(1).mp4
