Filename,File Size,Creation Date,Width,Height,DPI_X,DPI_Y,Original Path
0Rec63MreiKYUdiJAnLO7DGj_1718669845_2748778.jpg,405.56 KB,11-03-25,1024,1792,,,/Users/steven/workspace/archive/reference-files/avatararts-steven-docs/DaLL-E/all/0Rec63MreiKYUdiJAnLO7DGj_1718669845_2748778.jpg
0Rec63MreiKYUdiJAnLO7DGj_1718669845_2748778.jpg,405.56 KB,11-03-25,1024,1792,,,/Users/steven/workspace/avatararts-complete/DaLL-E/all/0Rec63MreiKYUdiJAnLO7DGj_1718669845_2748778.jpg
0YhcgFggPAbdMXsiERLv8Cp2_1718316643_7390087.jpg,248.80 KB,11-03-25,1024,1024,,,/Users/steven/workspace/archive/reference-files/avatararts-steven-docs/DaLL-E/all/0YhcgFggPAbdMXsiERLv8Cp2_1718316643_7390087.jpg
0YhcgFggPAbdMXsiERLv8Cp2_1718316643_7390087.jpg,248.80 KB,11-03-25,1024,1024,,,/Users/steven/workspace/avatararts-complete/DaLL-E/all/0YhcgFggPAbdMXsiERLv8Cp2_1718316643_7390087.jpg
0e6f634d-411a-496a-b41b-6f089198bfb3_0.jpg,22.96 KB,10-28-25,481,320,,,/Users/steven/workspace/archive/old-structure/projects/galleries/mix/images/thumbnails/0e6f634d-411a-496a-b41b-6f089198bfb3_0.jpg
0e6f634d-411a-496a-b41b-6f089198bfb3_0.jpg,53.66 KB,10-28-25,720,479,300,300,/Users/steven/workspace/archive/old-structure/projects/galleries/mix/images/photos/0e6f634d-411a-496a-b41b-6f089198bfb3_0.jpg
1-1-1024x632.jpg,103.21 KB,11-03-25,1024,632,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-1-1024x632.jpg
1-1-1024x685.jpg,97.37 KB,11-03-25,1024,685,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-1024x685.jpg
1-1-1024x685.jpg,97.37 KB,11-03-25,1024,685,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-1024x685.jpg
1-1-300x185.jpg,14.98 KB,11-03-25,300,185,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-1-300x185.jpg
1-1-300x201.jpg,17.49 KB,11-03-25,300,201,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-300x201.jpg
1-1-300x201.jpg,17.49 KB,11-03-25,300,201,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-300x201.jpg
1-1-550x367.jpg,41.74 KB,11-03-25,550,367,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-550x367.jpg
1-1-550x367.jpg,41.74 KB,11-03-25,550,367,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-550x367.jpg
1-1-768x474.jpg,65.75 KB,11-03-25,768,474,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-1-768x474.jpg
1-1-768x514.jpg,65.54 KB,11-03-25,768,514,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-768x514.jpg
1-1-768x514.jpg,65.54 KB,11-03-25,768,514,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2024/08/1-1-768x514.jpg
1-1.jpg,135.29 KB,11-03-25,1280,790,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-1.jpg
1-1.jpg,442.11 KB,11-03-25,1100,736,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2024/08/1-1.jpg
1-1.jpg,442.11 KB,11-03-25,1100,736,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2024/08/1-1.jpg
1-1024x632.jpg,103.21 KB,11-03-25,1024,632,,,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-1024x632.jpg
1-2-1024x685.jpg,105.47 KB,11-03-25,1024,685,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-1024x685.jpg
1-2-1024x685.jpg,105.47 KB,11-03-25,1024,685,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-1024x685.jpg
1-2-150x150.jpg,9.23 KB,11-03-25,150,150,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-150x150.jpg
1-2-300x201.jpg,18.72 KB,11-03-25,300,201,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-300x201.jpg
1-2-300x201.jpg,18.72 KB,11-03-25,300,201,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-300x201.jpg
1-2-300x300.jpg,25.52 KB,11-03-25,300,300,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-300x300.jpg
1-2-360x360.jpg,31.62 KB,11-03-25,360,360,144,144,/Users/steven/workspace/archive/old-structure/websites/completed-archive/sited/MyDesign-MostView/mydesigns.io/blog/wp-content/uploads/2025/03/1-2-360x360.jpg
