path,name,extension,size_bytes,size_mb,modified,directory,is_hidden
/Users/steven/Documents/HTML/SBHTML/D0P3 SB21/Config.js,Config.js,.js,466,0.0,2024-07-21 05:43:23,/Users/steven/Documents/HTML/SBHTML/D0P3 SB21,False
/Users/steven/Documents/HTML/SBHTML/BuufJuiced-Pirates-dubs SBHTML/src/4x3 down (dubs).plist,4x3 down (dubs).plist,.plist,463,0.0,2024-07-21 05:42:28,/Users/steven/Documents/HTML/SBHTML/BuufJuiced-Pirates-dubs SBHTML/src,False
/Users/steven/Documents/CsV/Content_Planner_b4d54e9da47a4bea9a68537d022d73fe.csv,Content_Planner_b4d54e9da47a4bea9a68537d022d73fe.csv,.csv,461,0.0,2025-01-02 01:45:02,/Users/steven/Documents/CsV,False
/Users/steven/Documents/Hookmark/templates/built-in templates/Composition/plan-.txt,plan-.txt,.txt,457,0.0,2025-12-23 12:04:16,/Users/steven/Documents/Hookmark/templates/built-in templates/Composition,False
/Users/steven/Documents/HTML/popup.html,popup.html,.html,456,0.0,2025-05-31 00:17:04,/Users/steven/Documents/HTML,False
/Users/steven/Documents/Obsidian Vault/.obsidian/plugins/obsidian-enhancing-export/lua/url.lua,url.lua,.lua,455,0.0,2025-10-26 15:08:39,/Users/steven/Documents/Obsidian Vault/.obsidian/plugins/obsidian-enhancing-export/lua,False
/Users/steven/Documents/json/misc-data/enhanced_metadata.json,enhanced_metadata.json,.json,452,0.0,2025-10-23 08:23:34,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/json/misc-data/manifest_9.json,manifest_9.json,.json,448,0.0,2025-10-15 03:09:10,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/Obsidian Vault/.obsidian/plugins/convert-url-to-iframe/styles.css,styles.css,.css,446,0.0,2025-02-09 06:10:22,/Users/steven/Documents/Obsidian Vault/.obsidian/plugins/convert-url-to-iframe,False
/Users/steven/Documents/json/misc-data/sections.json,sections.json,.json,446,0.0,2025-10-07 01:43:58,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/json/misc-data/manifest_17.json,manifest_17.json,.json,444,0.0,2025-03-02 18:41:57,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/HTML/SBHTML/D0P3 SB19/Config.js,Config.js,.js,441,0.0,2024-07-21 05:43:34,/Users/steven/Documents/HTML/SBHTML/D0P3 SB19,False
/Users/steven/Documents/Hookmark/templates/built-in templates/script.scpt,script.scpt,.scpt,440,0.0,2025-12-23 12:04:16,/Users/steven/Documents/Hookmark/templates/built-in templates,False
/Users/steven/Documents/json/misc-data/client_secret3724-q3bn815rvoi5ean5lcdkv6up2cjnc1f6.apps.googleusercontent.com.json,client_secret3724-q3bn815rvoi5ean5lcdkv6up2cjnc1f6.apps.googleusercontent.com.json,.json,432,0.0,2025-04-09 04:19:33,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/markD/general-notes/2-48-45-CSV_____.md,2-48-45-CSV_____.md,.md,431,0.0,2025-04-09 01:13:56,/Users/steven/Documents/markD/general-notes,False
/Users/steven/Documents/json/_misnamed_rtf/2025-09-05_00-51-22.json,2025-09-05_00-51-22.json,.json,427,0.0,2025-10-26 02:22:21,/Users/steven/Documents/json/_misnamed_rtf,False
/Users/steven/Documents/json/misc-data/tsconfig_2.json,tsconfig_2.json,.json,420,0.0,2024-12-04 22:50:55,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/CsV/Monthly_Follower_Tracker_1_3259dbe8499c4ee784f5a8fd3ef51f65.csv,Monthly_Follower_Tracker_1_3259dbe8499c4ee784f5a8fd3ef51f65.csv,.csv,414,0.0,2025-01-02 01:55:32,/Users/steven/Documents/CsV,False
/Users/steven/Documents/json/misc-data/toc.json,toc.json,.json,414,0.0,2025-10-07 03:32:58,/Users/steven/Documents/json/misc-data,False
/Users/steven/Documents/markD/general-notes/Privacy_Policy.md,Privacy_Policy.md,.md,414,0.0,2025-10-19 23:04:50,/Users/steven/Documents/markD/general-notes,False
/Users/steven/Documents/json/misc-data/manifest_22.json,manifest_22.json,.json,408,0.0,2025-04-09 13:57:59,/Users/steven/Documents/json/misc-data,False
