Title,Artist,MP3 Path,Analysis Path,Transcript Path,Image Path,Description
Marching ever forward neath the wooded s2,Unknown Artist,/Users/steven/Music/suno/mp3/Marching ever forward neath the wooded s2.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Rubbish Love,Unknown Artist,/Users/steven/Music/suno/mp3/Rubbish Love.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Marching Shadows,Unknown Artist,/Users/steven/Music/suno/mp3/Marching Shadows.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Enchanted Woods,Unknown Artist,/Users/steven/Music/suno/mp3/Enchanted Woods.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Whisper of the Willow,Unknown Artist,/Users/steven/Music/suno/mp3/Whisper of the Willow.mp3,/Users/steven/Music/suno/txt/Whisper of the Willow_analysis.txt,/Users/steven/Music/suno/txt/Whisper of the Willow_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Love in Imperfection,Unknown Artist,/Users/steven/Music/suno/mp3/Love in Imperfection.mp3,/Users/steven/Music/suno/txt/Love in Imperfection_analysis.txt,/Users/steven/Music/suno/txt/Love in Imperfection_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
in This aLLey Where i HiDe,Unknown Artist,/Users/steven/Music/suno/mp3/in This aLLey Where i HiDe.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Beautiful Mess,Unknown Artist,/Users/steven/Music/suno/mp3/Beautiful Mess.mp3,/Users/steven/Music/suno/txt/Beautiful Mess_analysis.txt,/Users/steven/Music/suno/txt/Beautiful Mess_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Moonly Alley Serenade,Unknown Artist,/Users/steven/Music/suno/mp3/Moonly Alley Serenade.mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
The Sound of Ancestors,Unknown Artist,/Users/steven/Music/suno/mp3/The Sound of Ancestors.mp3,/Users/steven/Music/suno/txt/The Sound of Ancestors_analysis.txt,/Users/steven/Music/suno/txt/The Sound of Ancestors_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Moonly Alley (1),Unknown Artist,/Users/steven/Music/suno/mp3/Moonly Alley (1).mp3,,,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
Moonlit Reverie,Unknown Artist,/Users/steven/Music/suno/mp3/Moonlit Reverie.mp3,/Users/steven/Music/suno/txt/Moonlit Reverie_analysis.txt,/Users/steven/Music/suno/txt/Moonlit Reverie_transcript.txt,https://via.placeholder.com/150,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
